Tabela de observabilidade - Troianos - IAG


Iluninação da lua: 99.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
624 Hektor (A907 CF)             |  14.6 |  42.3 |  55.7 |  67.7 |  74.7 |  70.3 |  59.0 |  45.8 |       |       |       |       |       |       |
1437 Diomedes (1937 PB)          |  15.4 |       |  42.8 |  55.4 |  67.6 |  77.7 |  77.6 |  67.5 |  55.2 |  42.6 |       |       |       |       |
911 Agamemnon (A919 FB)          |  15.5 |  46.9 |  59.9 |  70.7 |  73.8 |  66.2 |  54.0 |  40.6 |       |       |       |       |       |       |
588 Achilles (A906 DN)           |  15.5 |       |  48.0 |  61.8 |  74.9 |  82.3 |  72.7 |  59.4 |  45.5 |       |       |       |       |       |
3063 Makhaon (1983 PV)           |  15.7 |  41.2 |  55.1 |  68.8 |  81.0 |  79.3 |  66.5 |  52.7 |  38.9 |       |       |       |       |       |
1143 Odysseus (1930 BH)          |  15.7 |  44.7 |  55.8 |  63.3 |  63.7 |  56.9 |  46.0 |       |       |       |       |       |       |       |
1583 Antilochus (1950 SA)        |  15.8 |       |  44.7 |  58.5 |  72.4 |  85.0 |  78.3 |  64.6 |  50.7 |  36.9 |       |       |       |       |
319 Leona (A891 TA)              |  15.9 |       |       |       |  45.7 |  58.7 |  69.8 |  73.8 |  66.8 |  54.9 |  41.6 |       |       |       |
3793 Leonteus (1985 TE3)         |  16.0 |       |  45.1 |  58.1 |  69.1 |  73.5 |  66.9 |  55.2 |  42.0 |       |       |       |       |       |
4063 Euforbo (1989 CG2)          |  16.2 |       |       |       |  44.0 |  49.8 |  50.7 |  46.2 |  37.9 |       |       |       |       |       |
3451 Mentor (1984 HA1)           |  16.6 |  35.0 |       |       |       |       |       |       |       |       |       |       |       |       |
659 Nestor (A908 FE)             |  16.7 |  45.6 |  54.6 |  58.9 |  56.6 |  48.8 |  37.9 |       |       |       |       |       |       |       |
136472 Makemake (2005 FY9)       |  17.1 |       |       |       |  38.6 |  44.7 |  46.5 |  43.5 |  36.5 |       |       |       |       |       |
3548 Eurybates (1973 SO)         |  17.1 |       |       |  46.3 |  58.9 |  69.0 |  71.7 |  64.4 |  52.6 |  39.4 |       |       |       |       |
136108 Haumea (2003 EL61)        |  17.2 |       |       |       |       |  41.3 |  49.3 |  52.9 |  50.8 |  43.9 |       |       |       |       |
15440 Eioneus (1998 WX4)         |  17.4 |       |       |  36.5 |       |       |       |       |       |       |       |       |       |       |
21900 Orus (1999 VQ10)           |  17.4 |  48.0 |  60.6 |  70.4 |  71.9 |  63.7 |  51.6 |  38.2 |       |       |       |       |       |       |
4501 Eurypylos (1989 CJ3)        |  17.9 |       |  46.7 |  60.3 |  72.7 |  78.6 |  70.7 |  58.0 |  44.3 |       |       |       |       |       |
11351 Leucus (1997 TS25)         |  18.4 |  36.3 |  50.2 |  63.9 |  76.7 |  81.1 |  70.3 |  56.8 |  43.0 |       |       |       |       |       |
50000 Quaoar (2002 LM60)         |  18.9 |       |       |       |       |       |       |       |  42.7 |  56.6 |  70.1 |  81.2 |  77.2 |  64.4 |
90482 Orcus (2004 DW)            |  19.1 |  59.0 |  72.1 |  80.9 |  74.1 |  61.2 |  47.4 |       |       |       |       |       |       |       |
15094 Polymele (1999 WB2)        |  19.2 |       |       |  43.1 |  55.5 |  65.3 |  68.6 |  62.9 |  52.1 |  39.4 |       |       |       |       |
